column_name,description,units,measurement_type,export,editable,is_metadata
DFFL_y_start,Starting y for anterior insertion of dorsal fin to fluke notch,pixels,auto point,False,False,False
DFFL_x_end,Ending X for anterior insertion of dorsal fin to fluke notch,pixels,auto point,False,False,False
DFFL_y_end,Ending y for anterior insertion of dorsal fin to fluke notch,pixels,auto point,False,False,False
LENGTH_x_start,Starting X for tip of rostrum to fluke notch,pixels,auto point,False,False,False
LENGTH_y_start,Starting y for tip of rostrum to fluke notch,pixels,auto point,False,False,False
LENGTH_x_end,Ending X for tip of rostrum to fluke notch,pixels,auto point,False,False,False
LENGTH_y_end,Ending y for tip of rostrum to fluke notch,pixels,auto point,False,False,False
FW_x_start,Starting X for Maximum breadth of fluke,pixels,auto point,False,False,False
FW_y_start,Starting y for Maximum breadth of fluke,pixels,auto point,False,False,False
FW_x_end,Ending X for Maximum breadth of fluke,pixels,auto point,False,False,False
FW_y_end,Ending y for Maximum breadth of fluke,pixels,auto point,False,False,False
5%_x_start,Starting X for Width of animal at 5% of distance of SNDF measurement,pixels,auto point,False,False,False
5%_y_start,Starting y for Width of animal at 5% of distance of SNDF measurement,pixels,auto point,False,False,False
5%_x_end,Ending X for Width of animal at 5% of distance of SNDF measurement,pixels,auto point,False,False,False
5%_y_end,Ending y for Width of animal at 5% of distance of SNDF measurement,pixels,auto point,False,False,False
10%_x_start,Starting X for Width of animal at 10% of distance of SNDF measurement,pixels,auto point,False,False,False
10%_y_start,Starting y for Width of animal at 10% of distance of SNDF measurement,pixels,auto point,False,False,False
10%_x_end,Ending X for Width of animal at 10% of distance of SNDF measurement,pixels,auto point,False,False,False
10%_y_end,Ending y for Width of animal at 10% of distance of SNDF measurement,pixels,auto point,False,False,False
15%_x_start,Starting X for Width of animal at 15% of distance of SNDF measurement,pixels,auto point,False,False,False
15%_y_start,Starting y for Width of animal at 15% of distance of SNDF measurement,pixels,auto point,False,False,False
15%_x_end,Ending X for Width of animal at 15% of distance of SNDF measurement,pixels,auto point,False,False,False
15%_y_end,Ending y for Width of animal at 15% of distance of SNDF measurement,pixels,auto point,False,False,False
20%_x_start,Starting X for Width of animal at 20% of distance of SNDF measurement,pixels,auto point,False,False,False
20%_y_start,Starting y for Width of animal at 20% of distance of SNDF measurement,pixels,auto point,False,False,False
20%_x_end,Ending X for Width of animal at 20% of distance of SNDF measurement,pixels,auto point,False,False,False
20%_y_end,Ending y for Width of animal at 20% of distance of SNDF measurement,pixels,auto point,False,False,False
25%_x_start,Starting X for Width of animal at 25% of distance of SNDF measurement,pixels,auto point,False,False,False
25%_y_start,Starting y for Width of animal at 25% of distance of SNDF measurement,pixels,auto point,False,False,False
25%_x_end,Ending X for Width of animal at 25% of distance of SNDF measurement,pixels,auto point,False,False,False
25%_y_end,Ending y for Width of animal at 25% of distance of SNDF measurement,pixels,auto point,False,False,False
30%_x_start,Starting X for Width of animal at 30% of distance of SNDF measurement,pixels,auto point,False,False,False
30%_y_start,Starting y for Width of animal at 30% of distance of SNDF measurement,pixels,auto point,False,False,False
30%_x_end,Ending X for Width of animal at 30% of distance of SNDF measurement,pixels,auto point,False,False,False
30%_y_end,Ending y for Width of animal at 30% of distance of SNDF measurement,pixels,auto point,False,False,False
35%_x_start,Starting X for Width of animal at 35% of distance of SNDF measurement,pixels,auto point,False,False,False
35%_y_start,Starting y for Width of animal at 35% of distance of SNDF measurement,pixels,auto point,False,False,False
35%_x_end,Ending X for Width of animal at 35% of distance of SNDF measurement,pixels,auto point,False,False,False
35%_y_end,Ending y for Width of animal at 35% of distance of SNDF measurement,pixels,auto point,False,False,False
40%_x_start,Starting X for Width of animal at 40% of distance of SNDF measurement,pixels,auto point,False,False,False
40%_y_start,Starting y for Width of animal at 40% of distance of SNDF measurement,pixels,auto point,False,False,False
40%_x_end,Ending X for Width of animal at 40% of distance of SNDF measurement,pixels,auto point,False,False,False
40%_y_end,Ending y for Width of animal at 40% of distance of SNDF measurement,pixels,auto point,False,False,False
45%_x_start,Starting X for Width of animal at 45% of distance of SNDF measurement,pixels,auto point,False,False,False
45%_y_start,Starting y for Width of animal at 45% of distance of SNDF measurement,pixels,auto point,False,False,False
45%_x_end,Ending X for Width of animal at 45% of distance of SNDF measurement,pixels,auto point,False,False,False
45%_y_end,Ending y for Width of animal at 45% of distance of SNDF measurement,pixels,auto point,False,False,False
50%_x_start,Starting X for Width of animal at 50% of distance of SNDF measurement,pixels,auto point,False,False,False
50%_y_start,Starting y for Width of animal at 50% of distance of SNDF measurement,pixels,auto point,False,False,False
50%_x_end,Ending X for Width of animal at 50% of distance of SNDF measurement,pixels,auto point,False,False,False
50%_y_end,Ending y for Width of animal at 50% of distance of SNDF measurement,pixels,auto point,False,False,False
55%_x_start,Starting X for Width of animal at 55% of distance of SNDF measurement,pixels,auto point,False,False,False
55%_y_start,Starting y for Width of animal at 55% of distance of SNDF measurement,pixels,auto point,False,False,False
55%_x_end,Ending X for Width of animal at 55% of distance of SNDF measurement,pixels,auto point,False,False,False
55%_y_end,Ending y for Width of animal at 55% of distance of SNDF measurement,pixels,auto point,False,False,False
60%_x_start,Starting X for Width of animal at 60% of distance of SNDF measurement,pixels,auto point,False,False,False
60%_y_start,Starting y for Width of animal at 60% of distance of SNDF measurement,pixels,auto point,False,False,False
60%_x_end,Ending X for Width of animal at 60% of distance of SNDF measurement,pixels,auto point,False,False,False
60%_y_end,Ending y for Width of animal at 60% of distance of SNDF measurement,pixels,auto point,False,False,False
65%_x_start,Starting X for Width of animal at 65% of distance of SNDF measurement,pixels,auto point,False,False,False
65%_y_start,Starting y for Width of animal at 65% of distance of SNDF measurement,pixels,auto point,False,False,False
65%_x_end,Ending X for Width of animal at 65% of distance of SNDF measurement,pixels,auto point,False,False,False
65%_y_end,Ending y for Width of animal at 65% of distance of SNDF measurement,pixels,auto point,False,False,False
70%_x_start,Starting X for Width of animal at 70% of distance of SNDF measurement,pixels,auto point,False,False,False
70%_y_start,Starting y for Width of animal at 70% of distance of SNDF measurement,pixels,auto point,False,False,False
70%_x_end,Ending X for Width of animal at 70% of distance of SNDF measurement,pixels,auto point,False,False,False
70%_y_end,Ending y for Width of animal at 70% of distance of SNDF measurement,pixels,auto point,False,False,False
75%_x_start,Starting X for Width of animal at 75% of distance of SNDF measurement,pixels,auto point,False,False,False
75%_y_start,Starting y for Width of animal at 75% of distance of SNDF measurement,pixels,auto point,False,False,False
75%_x_end,Ending X for Width of animal at 75% of distance of SNDF measurement,pixels,auto point,False,False,False
75%_y_end,Ending y for Width of animal at 75% of distance of SNDF measurement,pixels,auto point,False,False,False
80%_x_start,Starting X for Width of animal at 80% of distance of SNDF measurement,pixels,auto point,False,False,False
80%_y_start,Starting y for Width of animal at 80% of distance of SNDF measurement,pixels,auto point,False,False,False
80%_x_end,Ending X for Width of animal at 80% of distance of SNDF measurement,pixels,auto point,False,False,False
80%_y_end,Ending y for Width of animal at 80% of distance of SNDF measurement,pixels,auto point,False,False,False
85%_x_start,Starting X for Width of animal at 85% of distance of SNDF measurement,pixels,auto point,False,False,False
85%_y_start,Starting y for Width of animal at 85% of distance of SNDF measurement,pixels,auto point,False,False,False
85%_x_end,Ending X for Width of animal at 85% of distance of SNDF measurement,pixels,auto point,False,False,False
85%_y_end,Ending y for Width of animal at 85% of distance of SNDF measurement,pixels,auto point,False,False,False
90%_x_start,Starting X for Width of animal at 90% of distance of SNDF measurement,pixels,auto point,False,False,False
90%_y_start,Starting y for Width of animal at 90% of distance of SNDF measurement,pixels,auto point,False,False,False
90%_x_end,Ending X for Width of animal at 90% of distance of SNDF measurement,pixels,auto point,False,False,False
90%_y_end,Ending y for Width of animal at 90% of distance of SNDF measurement,pixels,auto point,False,False,False
95%_x_start,Starting X for Width of animal at 95% of distance of SNDF measurement,pixels,auto point,False,False,False
95%_y_start,Starting y for Width of animal at 95% of distance of SNDF measurement,pixels,auto point,False,False,False
95%_x_end,Ending X for Width of animal at 95% of distance of SNDF measurement,pixels,auto point,False,False,False
95%_y_end,Ending y for Width of animal at 95% of distance of SNDF measurement,pixels,auto point,False,False,False
100%_x_start,Starting X for Width of animal at 100% of distance of SNDF measurement,pixels,auto point,False,False,False
100%_y_start,Starting y for Width of animal at 100% of distance of SNDF measurement,pixels,auto point,False,False,False
100%_x_end,Ending X for Width of animal at 100% of distance of SNDF measurement,pixels,auto point,False,False,False
100%_y_end,Ending y for Width of animal at 100% of distance of SNDF measurement,pixels,auto point,False,False,False
105%_x_start,Starting X for Width of animal at 105% of distance of SNDF measurement,pixels,auto point,False,False,False
105%_y_start,Starting y for Width of animal at 105% of distance of SNDF measurement,pixels,auto point,False,False,False
105%_x_end,Ending X for Width of animal at 105% of distance of SNDF measurement,pixels,auto point,False,False,False
105%_y_end,Ending y for Width of animal at 105% of distance of SNDF measurement,pixels,auto point,False,False,False
110%_x_start,Starting X for Width of animal at 110% of distance of SNDF measurement,pixels,auto point,False,False,False
110%_y_start,Starting y for Width of animal at 110% of distance of SNDF measurement,pixels,auto point,False,False,False
110%_x_end,Ending X for Width of animal at 110% of distance of SNDF measurement,pixels,auto point,False,False,False
110%_y_end,Ending y for Width of animal at 110% of distance of SNDF measurement,pixels,auto point,False,False,False
115%_x_start,Starting X for Width of animal at 115% of distance of SNDF measurement,pixels,auto point,False,False,False
115%_y_start,Starting y for Width of animal at 115% of distance of SNDF measurement,pixels,auto point,False,False,False
115%_x_end,Ending X for Width of animal at 115% of distance of SNDF measurement,pixels,auto point,False,False,False
115%_y_end,Ending y for Width of animal at 115% of distance of SNDF measurement,pixels,auto point,False,False,False
120%_x_start,Starting X for Width of animal at 120% of distance of SNDF measurement,pixels,auto point,False,False,False
120%_y_start,Starting y for Width of animal at 120% of distance of SNDF measurement,pixels,auto point,False,False,False
120%_x_end,Ending X for Width of animal at 120% of distance of SNDF measurement,pixels,auto point,False,False,False
120%_y_end,Ending y for Width of animal at 120% of distance of SNDF measurement,pixels,auto point,False,False,False
125%_x_start,Starting X for Width of animal at 125% of distance of SNDF measurement,pixels,auto point,False,False,False
125%_y_start,Starting y for Width of animal at 125% of distance of SNDF measurement,pixels,auto point,False,False,False
125%_x_end,Ending X for Width of animal at 125% of distance of SNDF measurement,pixels,auto point,False,False,False
125%_y_end,Ending y for Width of animal at 125% of distance of SNDF measurement,pixels,auto point,False,False,False
130%_x_start,Starting X for Width of animal at 130% of distance of SNDF measurement,pixels,auto point,False,False,False
130%_y_start,Starting y for Width of animal at 130% of distance of SNDF measurement,pixels,auto point,False,False,False
130%_x_end,Ending X for Width of animal at 130% of distance of SNDF measurement,pixels,auto point,False,False,False
130%_y_end,Ending y for Width of animal at 130% of distance of SNDF measurement,pixels,auto point,False,False,False
135%_x_start,Starting X for Width of animal at 135% of distance of SNDF measurement,pixels,auto point,False,False,False
135%_y_start,Starting y for Width of animal at 135% of distance of SNDF measurement,pixels,auto point,False,False,False
135%_x_end,Ending X for Width of animal at 135% of distance of SNDF measurement,pixels,auto point,False,False,False
135%_y_end,Ending y for Width of animal at 135% of distance of SNDF measurement,pixels,auto point,False,False,False
140%_x_start,Starting X for Width of animal at 140% of distance of SNDF measurement,pixels,auto point,False,False,False
140%_y_start,Starting y for Width of animal at 140% of distance of SNDF measurement,pixels,auto point,False,False,False
140%_x_end,Ending X for Width of animal at 140% of distance of SNDF measurement,pixels,auto point,False,False,False
140%_y_end,Ending y for Width of animal at 140% of distance of SNDF measurement,pixels,auto point,False,False,False
145%_x_start,Starting X for Width of animal at 145% of distance of SNDF measurement,pixels,auto point,False,False,False
145%_y_start,Starting y for Width of animal at 145% of distance of SNDF measurement,pixels,auto point,False,False,False
145%_x_end,Ending X for Width of animal at 145% of distance of SNDF measurement,pixels,auto point,False,False,False
145%_y_end,Ending y for Width of animal at 145% of distance of SNDF measurement,pixels,auto point,False,False,False
150%_x_start,Starting X for Width of animal at 150% of distance of SNDF measurement,pixels,auto point,False,False,False
150%_y_start,Starting y for Width of animal at 150% of distance of SNDF measurement,pixels,auto point,False,False,False
150%_x_end,Ending X for Width of animal at 150% of distance of SNDF measurement,pixels,auto point,False,False,False
150%_y_end,Ending y for Width of animal at 150% of distance of SNDF measurement,pixels,auto point,False,False,False
155%_x_start,Starting X for Width of animal at 155% of distance of SNDF measurement,pixels,auto point,False,False,False
155%_y_start,Starting y for Width of animal at 155% of distance of SNDF measurement,pixels,auto point,False,False,False
155%_x_end,Ending X for Width of animal at 155% of distance of SNDF measurement,pixels,auto point,False,False,False
155%_y_end,Ending y for Width of animal at 155% of distance of SNDF measurement,pixels,auto point,False,False,False
160%_x_start,Starting X for Width of animal at 160% of distance of SNDF measurement,pixels,auto point,False,False,False
160%_y_start,Starting y for Width of animal at 160% of distance of SNDF measurement,pixels,auto point,False,False,False
160%_x_end,Ending X for Width of animal at 160% of distance of SNDF measurement,pixels,auto point,False,False,False
160%_y_end,Ending y for Width of animal at 160% of distance of SNDF measurement,pixels,auto point,False,False,False
165%_x_start,Starting X for Width of animal at 165% of distance of SNDF measurement,pixels,auto point,False,False,False
165%_y_start,Starting y for Width of animal at 165% of distance of SNDF measurement,pixels,auto point,False,False,False
165%_x_end,Ending X for Width of animal at 165% of distance of SNDF measurement,pixels,auto point,False,False,False
165%_y_end,Ending y for Width of animal at 165% of distance of SNDF measurement,pixels,auto point,False,False,False
170%_x_start,Starting X for Width of animal at 170% of distance of SNDF measurement,pixels,auto point,False,False,False
170%_y_start,Starting y for Width of animal at 170% of distance of SNDF measurement,pixels,auto point,False,False,False
170%_x_end,Ending X for Width of animal at 170% of distance of SNDF measurement,pixels,auto point,False,False,False
170%_y_end,Ending y for Width of animal at 170% of distance of SNDF measurement,pixels,auto point,False,False,False
175%_x_start,Starting X for Width of animal at 175% of distance of SNDF measurement,pixels,auto point,False,False,False
175%_y_start,Starting y for Width of animal at 175% of distance of SNDF measurement,pixels,auto point,False,False,False
175%_x_end,Ending X for Width of animal at 175% of distance of SNDF measurement,pixels,auto point,False,False,False
175%_y_end,Ending y for Width of animal at 175% of distance of SNDF measurement,pixels,auto point,False,False,False
180%_x_start,Starting X for Width of animal at 180% of distance of SNDF measurement,pixels,auto point,False,False,False
180%_y_start,Starting y for Width of animal at 180% of distance of SNDF measurement,pixels,auto point,False,False,False
180%_x_end,Ending X for Width of animal at 180% of distance of SNDF measurement,pixels,auto point,False,False,False
180%_y_end,Ending y for Width of animal at 180% of distance of SNDF measurement,pixels,auto point,False,False,False
185%_x_start,Starting X for Width of animal at 185% of distance of SNDF measurement,pixels,auto point,False,False,False
185%_y_start,Starting y for Width of animal at 185% of distance of SNDF measurement,pixels,auto point,False,False,False
185%_x_end,Ending X for Width of animal at 185% of distance of SNDF measurement,pixels,auto point,False,False,False
185%_y_end,Ending y for Width of animal at 185% of distance of SNDF measurement,pixels,auto point,False,False,False
190%_x_start,Starting X for Width of animal at 190% of distance of SNDF measurement,pixels,auto point,False,False,False
190%_y_start,Starting y for Width of animal at 190% of distance of SNDF measurement,pixels,auto point,False,False,False
190%_x_end,Ending X for Width of animal at 190% of distance of SNDF measurement,pixels,auto point,False,False,False
190%_y_end,Ending y for Width of animal at 190% of distance of SNDF measurement,pixels,auto point,False,False,False
195%_x_start,Starting X for Width of animal at 195% of distance of SNDF measurement,pixels,auto point,False,False,False
195%_y_start,Starting y for Width of animal at 195% of distance of SNDF measurement,pixels,auto point,False,False,False
195%_x_end,Ending X for Width of animal at 195% of distance of SNDF measurement,pixels,auto point,False,False,False
195%_y_end,Ending y for Width of animal at 195% of distance of SNDF measurement,pixels,auto point,False,False,False
200%_x_start,Starting X for Width of animal at 200% of distance of SNDF measurement,pixels,auto point,False,False,False
200%_y_start,Starting y for Width of animal at 200% of distance of SNDF measurement,pixels,auto point,False,False,False
200%_x_end,Ending X for Width of animal at 200% of distance of SNDF measurement,pixels,auto point,False,False,False
200%_y_end,Ending y for Width of animal at 200% of distance of SNDF measurement,pixels,auto point,False,False,False
205%_x_start,Starting X for Width of animal at 205% of distance of SNDF measurement,pixels,auto point,False,False,False
205%_y_start,Starting y for Width of animal at 205% of distance of SNDF measurement,pixels,auto point,False,False,False
205%_x_end,Ending X for Width of animal at 205% of distance of SNDF measurement,pixels,auto point,False,False,False
205%_y_end,Ending y for Width of animal at 205% of distance of SNDF measurement,pixels,auto point,False,False,False
210%_x_start,Starting X for Width of animal at 210% of distance of SNDF measurement,pixels,auto point,False,False,False
210%_y_start,Starting y for Width of animal at 210% of distance of SNDF measurement,pixels,auto point,False,False,False
210%_x_end,Ending X for Width of animal at 210% of distance of SNDF measurement,pixels,auto point,False,False,False
210%_y_end,Ending y for Width of animal at 210% of distance of SNDF measurement,pixels,auto point,False,False,False
215%_x_start,Starting X for Width of animal at 215% of distance of SNDF measurement,pixels,auto point,False,False,False
215%_y_start,Starting y for Width of animal at 215% of distance of SNDF measurement,pixels,auto point,False,False,False
215%_x_end,Ending X for Width of animal at 215% of distance of SNDF measurement,pixels,auto point,False,False,False
215%_y_end,Ending y for Width of animal at 215% of distance of SNDF measurement,pixels,auto point,False,False,False
220%_x_start,Starting X for Width of animal at 220% of distance of SNDF measurement,pixels,auto point,False,False,False
220%_y_start,Starting y for Width of animal at 220% of distance of SNDF measurement,pixels,auto point,False,False,False
220%_x_end,Ending X for Width of animal at 220% of distance of SNDF measurement,pixels,auto point,False,False,False
220%_y_end,Ending y for Width of animal at 220% of distance of SNDF measurement,pixels,auto point,False,False,False
225%_x_start,Starting X for Width of animal at 225% of distance of SNDF measurement,pixels,auto point,False,False,False
225%_y_start,Starting y for Width of animal at 225% of distance of SNDF measurement,pixels,auto point,False,False,False
225%_x_end,Ending X for Width of animal at 225% of distance of SNDF measurement,pixels,auto point,False,False,False
225%_y_end,Ending y for Width of animal at 225% of distance of SNDF measurement,pixels,auto point,False,False,False
HEAD_x_start,Starting X for breadth of the head (taken at 15% of the length of the blowhole to dorsal fin (BHDF)),pixels,auto point,False,False,False
HEAD_y_start,Starting y for breadth of the head (taken at 15% of the length of the blowhole to dorsal fin (BHDF)),pixels,auto point,False,False,False
HEAD_x_end,Ending X for breadth of the head (taken at 15% of the length of the blowhole to dorsal fin (BHDF)),pixels,auto point,False,False,False
HEAD_y_end,Ending y for breadth of the head (taken at 15% of the length of the blowhole to dorsal fin (BHDF)),pixels,auto point,False,False,False
HEAD_reviewed,Review of HEAD length,boolean,boolean,False,False,False
FW_reviewed,Review of FW length,boolean,boolean,False,False,False
5%_reviewed,Review of 5% length,boolean,boolean,False,False,False
10%_reviewed,Review of 10% length,boolean,boolean,False,False,False
15%_reviewed,Review of 15% length,boolean,boolean,False,False,False
20%_reviewed,Review of 20% length,boolean,boolean,False,False,False
25%_reviewed,Review of 25% length,boolean,boolean,False,False,False
30%_reviewed,Review of 30% length,boolean,boolean,False,False,False
35%_reviewed,Review of 35% length,boolean,boolean,False,False,False
40%_reviewed,Review of 40% length,boolean,boolean,False,False,False
45%_reviewed,Review of 45% length,boolean,boolean,False,False,False
50%_reviewed,Review of 50% length,boolean,boolean,False,False,False
55%_reviewed,Review of 55% length,boolean,boolean,False,False,False
60%_reviewed,Review of 60% length,boolean,boolean,False,False,False
65%_reviewed,Review of 65% length,boolean,boolean,False,False,False
70%_reviewed,Review of 70% length,boolean,boolean,False,False,False
75%_reviewed,Review of 75% length,boolean,boolean,False,False,False
80%_reviewed,Review of 80% length,boolean,boolean,False,False,False
85%_reviewed,Review of 85% length,boolean,boolean,False,False,False
90%_reviewed,Review of 90% length,boolean,boolean,False,False,False
95%_reviewed,Review of 95% length,boolean,boolean,False,False,False
100%_reviewed,Review of 100% length,boolean,boolean,False,False,False
105%_reviewed,Review of 105% length,boolean,boolean,False,False,False
110%_reviewed,Review of 110% length,boolean,boolean,False,False,False
115%_reviewed,Review of 115% length,boolean,boolean,False,False,False
120%_reviewed,Review of 120% length,boolean,boolean,False,False,False
125%_reviewed,Review of 125% length,boolean,boolean,False,False,False
130%_reviewed,Review of 130% length,boolean,boolean,False,False,False
135%_reviewed,Review of 135% length,boolean,boolean,False,False,False
140%_reviewed,Review of 140% length,boolean,boolean,False,False,False
145%_reviewed,Review of 145% length,boolean,boolean,False,False,False
150%_reviewed,Review of 150% length,boolean,boolean,False,False,False
155%_reviewed,Review of 155% length,boolean,boolean,False,False,False
160%_reviewed,Review of 160% length,boolean,boolean,False,False,False
165%_reviewed,Review of 165% length,boolean,boolean,False,False,False
170%_reviewed,Review of 170% length,boolean,boolean,False,False,False
175%_reviewed,Review of 175% length,boolean,boolean,False,False,False
180%_reviewed,Review of 180% length,boolean,boolean,False,False,False
185%_reviewed,Review of 185% length,boolean,boolean,False,False,False
190%_reviewed,Review of 190% length,boolean,boolean,False,False,False
195%_reviewed,Review of 195% length,boolean,boolean,False,False,False
200%_reviewed,Review of 200% length,boolean,boolean,False,False,False
